gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Olfr558,24.455456536720074,-0.39860255431101793,0.5502439504949469,0.3137732162934229,0.461291595450482
Olfr56,8.930836133558062,0.45654461570653354,0.5967269442918387,0.2767118867609334,0.420187910282947
Olfr78,12.261515997050692,-1.3060451618294937,1.1301429264925666,0.02161844471713795,0.05912499297368407
Olr1,75.74381460994633,-5.905999258244414,0.975071182251161,5.3512754493754006e-11,2.1716769488509183e-9
Oma1,269.93118002739163,-0.01387295309165553,0.16728609877715325,0.9291719062703088,0.9558971655007313
Omd,78.2981290380211,-4.823181092039213,1.070839161580678,1.6033327109814858e-7,2.240721930616699e-6
Omp,101.67971531155035,1.4700100729613401,0.6533126342406256,0.004561252970877547,0.016212422734793824
Opa1,1163.4917668416695,0.3983338167965252,0.14219161951050982,0.004355923880529587,0.015640667856874832
Opa3,388.78147863543717,0.1713171983093479,0.23780784484982165,0.44999726454070643,0.5926675812941614
Opcml,16.309433081085604,-2.072045125692229,0.815239205782512,7.630510015786989e-4,0.003613911316229734
Ophn1,342.73693259878155,0.150453682780774,0.1991048835065005,0.43488688586375424,0.5787521691873313
Oplah,593.673709205653,0.9959258514074885,0.34006094904426953,0.0013697939103360687,0.005977723971487269
Opn3,34.678643849834415,0.13660847621874714,0.3176525762676538,0.6382731325310156,0.7484180595132689
Optn,421.7149572142633,0.7030716117703191,0.3467221027114357,0.024450400391474825,0.06520695334588665
Orai1,783.5753181372827,0.7602871083012613,0.31562804456606197,0.008720617743139413,0.027727284826012787
Orai2,287.3490394807482,-1.9673974364369784,0.3276628612296594,2.022397352043458e-10,6.728570649636478e-9
Orai3,793.0759086619778,0.44281243602774867,0.17886215874353614,0.0108864656918707,0.03355202820786855
Oraov1,630.2566452095464,-0.1863190359288929,0.1815515326525628,0.28956911650670736,0.4343609899952936
Orc1,94.05393816129596,-0.22553544614063617,0.30761061550144053,0.42085712144555526,0.5656356471652936
Orc2,663.1921759416235,-0.303816033636638,0.16845536729642205,0.06376482259196053,0.13952510136697394
Orc3,657.6092846103114,-0.2635929243962925,0.1457208612199913,0.06485921536509856,0.1414170227857175
Orc4,719.7481528292844,-0.1689368339720203,0.18210087174725972,0.33830040819069634,0.48600836763183114
Orc5,321.04034049567554,0.13075257925902287,0.1598963741279721,0.4038067843470551,0.5495700956674681
Orc6,456.4607839821171,-0.20256692345063346,0.21143116637558518,0.31719103470265053,0.46488202843809445
Orm1,15.509998943459376,-1.5818889818932973,0.8406344510592448,0.005754001824794323,0.019598366372114765
Orm2,7.414925415071496,-0.47748139088977365,0.5700336310202312,0.24054795854746955,0.3799181485794098
Ormdl1,358.39077829974616,-0.12681221413522617,0.17049618633974875,0.4492812297957494,0.59197211971669506
Ormdl2,1110.3849107481396,0.08989358403851377,0.2100297011764074,0.6592353101069679,0.7643217958480597
Ormdl3,1537.4579498042074,0.5589126041868039,0.22216046937703038,0.008568884385722553,0.027344903898443195
Os9,3948.5317930569695,0.4960353877635933,0.171831269820097,0.003027957240969901,0.011516216365501385
Osbp,1833.2899991917589,0.8280822246615455,0.2130695524164689,5.41310424130537e-5,3.701961845026061e-4
Osbp2,65.52492516903679,0.2385471368839288,0.3856530443437711,0.47760886863972396,0.6168570923769658
Osbpl10,200.1376103412089,1.117811956735191,0.20388526024780587,1.5298950511603672e-8,2.9814788516808634e-7
Osbpl11,558.6584785259915,-0.3906384274670144,0.16666249694906973,0.015999760876439607,0.04599113984564426
Osbpl1a,642.3822394552662,1.1729797597395704,0.3712400673226617,4.891069459205291e-4,0.002478589298503621
Osbpl2,1094.6783985258444,1.0568457768415929,0.20478730496012051,9.7610613867416e-8,1.466840272685116e-6
Osbpl3,903.8554884171701,-1.4791260903468781,0.2474116105396484,4.0032404361189296e-10,1.2345692635145893e-8
Osbpl5,883.0534185179293,-0.674826644571377,0.23778163852552006,0.0026477676802350958,0.010295557823751732
Osbpl6,102.85366388933174,0.5430016668458245,0.4828663866528423,0.16454693817546995,0.28606418391526917
Osbpl7,662.4694859921426,1.1471057695812175,0.31242539453223583,8.150021635872398e-5,5.322374872020648e-4
Osbpl8,685.9179020897678,-0.27137896925500193,0.3241593767823518,0.35203746303531863,0.5004135300190268
Osbpl9,1997.0416186095858,-0.08024396743144718,0.16420024254868607,0.6154735856050759,0.7307576860049468
Oscp1,56.81433002499121,0.06486440023693266,0.27973429155600293,0.8045434255289635,0.8738761383760183
Oser1,65.25303324164057,-0.13418919552636446,0.1701997287133089,0.41802429717944994,0.5632612700022885
Osgep,249.37415620159354,-0.3011154407289661,0.24819406120079196,0.19727431411127955,0.3275048856769048
Osgepl1,143.6392083584199,0.21633778849775584,0.21034077736883475,0.28517554615267465,0.42939835902580653
Osgin1,240.94068783729108,0.47311252040881296,0.33375463491132307,0.1172391101378904,0.22340765414820912
Osgin2,753.8589312259006,-0.31338569438269237,0.45585411629743905,0.3903491634412891,0.5367936922691047
Osm,53.33482157841224,-1.2538438807725458,0.668029878531861,0.009786984686940522,0.030642928740035054
Osmr,1587.5100601008348,0.021772646459738667,0.29910300050116806,0.9392624140702718,0.9625908408939958
Osr1,175.50058259018297,-1.781069178447797,0.619694982000873,3.749651510270295e-4,0.0019711691142246545
Osr2,30.314756335550438,-4.2068175555956655,0.6516464423516803,7.021401017723803e-12,3.639303011712843e-10
Ost4,592.0490215678291,-0.1925964132731486,0.18011738333080826,0.27002836337864444,0.41215206778114827
Ostc,2126.976267862788,-0.19779801301914696,0.17494137595331366,0.24417296144365488,0.38396029236168516
Ostf1,1239.1960752339176,-0.8102022796884947,0.19921029184822137,2.3192961321966066e-5,1.767835008504039e-4
Ostm1,897.9279232725431,-0.03725576096100719,0.17710826577002187,0.8276181908383283,0.8887449778324938
Otoa,17.8336915620096,2.1608210884505272,1.0848500103402714,0.003975405591472566,0.014507087795759077
Otub1,1798.7119674413257,0.4588050212585127,0.20320029088020602,0.019156157205003285,0.05338139110211442
Otub2,228.57145756949282,0.7156016625302797,0.32737231876988193,0.01647151961143513,0.04708414158844419
Otud1,119.0389406607365,-0.4036149496832157,0.338377512298247,0.18032991143987628,0.30613605271668876
Otud3,144.04619488311027,0.30854256499415034,0.2794770453794242,0.23674586314664903,0.37523711270410937
Otud4,1429.0274451978544,-0.5162640493848663,0.3169696843596757,0.071502703573216,0.152283439617005
Otud5,1503.7649389324558,-0.24724354364900167,0.14182964626685587,0.07553339246265843,0.15905335257531444
Otud6b,532.5085826368615,0.010989492373718657,0.12102644684632556,0.9277302141124062,0.9552907099164605
Otud7a,83.35594415258903,-0.41706322432674625,0.44295381083112956,0.248018049572596,0.3885290433102291
Otud7b,1227.4633937966928,-0.18923716836117602,0.18940017615566435,0.302517252367216,0.44907897216043763
Otulin,723.1897243414676,0.07742252838591186,0.19171202570295054,0.6773746540033794,0.7782669665503554
Otx1,124.01608445153195,2.1297246022189085,0.8149721789111205,0.0010252593265819268,0.004657174284215321
Ovca2,803.9295283911576,0.3729232328418399,0.23479360122822557,0.09562641687952206,0.19100334599237073
Ovgp1,62.37416027967537,0.4987924828386646,0.31488210816657286,0.08314464450029814,0.17113176655404821
Ovol1,270.43813668483995,-0.15048293115397926,0.5115279614900353,0.6901085065692711,0.7876290550136192
Ovol2,96.75906582978186,0.2916579626772224,0.4590339984312185,0.4359293324604157,0.5798604983538252
Ovol3,52.35268223304178,-0.14244546788213128,0.353627918832652,0.6476769602338115,0.755785137575943
Oxa1l,1246.2051884877662,0.28575714106574523,0.19896287590579942,0.13727105951961735,0.2506821722368386
Oxct1,3261.0676123956814,0.11744468288022426,0.2564567746460159,0.626509399579523,0.7395554459476358
Oxld1,103.85766642372501,0.15134899256279288,0.273651912929697,0.5556282486768347,0.6830107755225265
Oxnad1,344.90373265811553,0.5669243708477824,0.26991622451026526,0.02503419677900035,0.06646390273533306
Oxr1,1547.8074825791896,0.7983418756511919,0.1826532047432484,6.900008686342254e-6,6.0961081527899396e-5
Oxsm,263.2360102892082,0.18945583631995133,0.21447690184629664,0.3584292083122217,0.5070526618187194
Oxsr1,1253.4374794427038,-0.0670433442412642,0.09848457614333847,0.4927236613705836,0.6290850411206794
Oxtr,320.6859516561542,-1.5343035126042237,0.779002260647956,0.004759519804593102,0.016779203188682628
P2rx3,27.747576444685357,1.7004717614149512,0.44639798678793585,2.4148932740886176e-5,1.8303131577648567e-4
P2rx4,1494.7471994258967,0.5518548835871152,0.2969959745920466,0.04429349007251572,0.10502462846728768
P2rx5,34.96778145563112,-0.6784696610579483,0.3963715744731142,0.04561432472251317,0.10730711068815253
P2rx6,16.02312944773091,0.13701549472368463,0.4726370041078897,0.7159136524303893,0.8079050018106732
P2rx7,629.4251614242942,0.16761547866714044,0.2323163995315612,0.4540804805645647,0.5962909466530135
P2ry1,153.6999051818199,-1.731579944582506,0.3294831273326196,1.905882929910319e-8,3.5637598279285106e-7
P2ry10,22.258198595340872,-1.3904195878465597,0.6663751885048601,0.0052588605205477115,0.01817592129376013
P2ry12,58.99050424072633,-0.9269610520531117,0.46434187066822463,0.015293138552732058,0.044374433844226666
P2ry13,101.50968747826683,-1.4661177588007281,0.3484933247599924,4.48531188144738e-6,4.1749859554341965e-5
P2ry14,36.0559586252423,-1.8874159739851355,0.529499565359168,3.630902377731548e-5,2.608739782288445e-4
P2ry2,158.4978778387189,-1.3574834638525453,0.4047411420288472,1.4730418905492193e-4,8.816764508587142e-4
P2ry6,356.19286917973204,-1.2521234597380522,0.3135305097343339,1.5040343217556021e-5,1.214740021923114e-4
P3h1,896.2783695325633,-1.5955255068895797,0.43071662881499073,2.8434734181532822e-5,2.103344483373074e-4
P3h2,173.0636786647327,1.1233557027596957,0.45447381194644293,0.004209474476483443,0.015222119208473299
P3h3,821.3555246259764,-2.106744385097261,0.4476638742979264,2.091418838387042e-7,2.8395624155012305e-6
P3h4,672.6028227283623,-0.44597488043786854,0.2812286136348959,0.085663740625999,0.17509682807904486
P4ha1,1968.6530678901743,-0.8131806891411713,0.46333848844779907,0.030934602646477193,0.07882800591577732
P4ha2,915.9286398948682,-2.1067320983749878,0.45068749489640736,2.3950410527155867e-7,3.201768907756982e-6
P4ha3,216.08835932084514,-3.1482380095802984,0.42268965382199747,4.807855244238284e-15,5.548565442803745e-13
P4hb,21102.895788844096,0.2344892994214539,0.16336605682438013,0.1379017373708081,0.2516161640861632
P4htm,41.89632038708619,0.6537941430082451,0.3463273761138434,0.03554481857569274,0.0881418773851418
Pa2g4,3989.0784803373294,0.1283188758465854,0.2064268650256069,0.5210210562260689,0.653410564782366
Pabpc1,12914.750372333738,-0.09461967865650307,0.2974318263563421,0.7293990420887909,0.8183096111290058
Pabpc1l,46.25305561799135,0.7966110925704938,0.43482748522045167,0.03172735068732838,0.08041805496795039
Pabpc4,305.3532635672376,-0.2848828629224682,0.21627558035132113,0.16807002170676238,0.29051373281679077
Pabpc4l,40.83516319143913,0.23325287573235098,0.4711135882554159,0.5371340634030701,0.66688051643891
Pabpn1,3160.2978762828548,-0.3264817421837963,0.22651791808000313,0.1292202319720537,0.24010581970958206
Pacrgl,113.07530189503332,0.004868464743149786,0.16623646883939067,0.976822483105197,0.9856298989364735
Pacs1,1555.7653189006596,1.132885221541386,0.25788007181626704,3.8468557284818574e-6,3.649695107330379e-5
Pacs2,1309.410922756504,-0.31928338586012406,0.1956756209760983,0.09019872354920447,0.1824339212348945
Pacsin1,23.628691563113527,1.5098189154704438,0.5707886954802427,0.0015417654859808444,0.0065995247055662225
Pacsin2,1392.8267751784972,0.25424597733946697,0.2366478921720818,0.2642175850345008,0.4056359896984439
Pacsin3,733.5994633105148,0.19942793587223792,0.2555039491656602,0.4090689708633013,0.55524826220644
Padi1,310.5426682954534,-2.6972636590865346,0.6679657044791915,2.5855783223125753e-6,2.5772039795682432e-5
Padi2,1813.3702114342743,2.274933259095843,0.40057428739783496,2.000083939855443e-9,4.9991945786031475e-8
Padi3,1573.4511720650687,-5.627603617425905,0.7743704398155123,7.152357531222777e-15,8.004138291759308e-13
Padi4,605.0269831842005,-1.924077594162976,0.7073991670623447,4.781902594302527e-4,0.002432447146110087
Paf1,1722.931515676296,0.7826763030617522,0.2522909611438648,0.001046561191243896,0.004736458920666309
Pafah1b1,3590.0942829972937,-0.11464973438099965,0.12792761462306754,0.3626221162969904,0.5108583613740167
Pafah1b2,2034.6242679713255,-0.23647318730254444,0.12318349223509456,0.051339369265350696,0.11754264767324249
Pafah1b3,638.975267713875,0.3924288699008261,0.22497480191552902,0.06821020562702779,0.1468164297715947
Pafah2,718.768574166989,0.8971093147596167,0.22911669726528347,4.340105766054544e-5,3.042811693220585e-4
Pag1,300.1377392033518,-0.29799017242322806,0.3720499164789484,0.3560281022517628,0.5046777781847269
Pagr1a,659.463111902088,0.022308539269569726,0.22587475696384496,0.919286220552609,0.9496510007423122
Paics,3157.3833291391265,0.13454030315962226,0.2075856011797032,0.5043986934015562,0.6387887468314242
Paip1,1401.8770996247251,-0.15040019420487014,0.10994171296996877,0.1661624402018866,0.2879577154695295
Paip2,2704.699135799235,-0.032127464852889524,0.1475774088743059,0.8228907626379085,0.8855997629088725
Paip2b,2159.526886885826,1.7308169173725096,0.28896076607864074,4.2272762580105723e-10,1.2982396025640785e-8
Pak1,1429.9537501509349,-0.224204850890902,0.17472802496996445,0.1869918652793299,0.31453471121683685
Pak1ip1,931.3456485658317,-0.0542683270051908,0.14212417421351256,0.6966809235858364,0.7926194241535718
Pak2,2783.534867767595,-0.1283844515228018,0.194824708407702,0.49380063748797615,0.6301332944862114
Pak3,124.47762409994709,-1.9273124201788554,0.5064856620740065,1.3087723376856723e-5,1.0764579605953648e-4
Pak4,879.5410455209475,0.3849305786187351,0.1734789010717445,0.02277104012053938,0.061629498838513694
Pak6,489.92265653225195,-0.8342590030017912,0.6281601701600353,0.05778939882152835,0.12906779578433666
Pakap,1407.2458780728289,0.19606954193964943,0.2124124685714089,0.3378580486294552,0.4855607366823458
Palb2,106.16494424070953,0.28455938630318056,0.257893993041478,0.24220173843708606,0.3819583730322019
