genes	PT_Myc_PTEN_MGT_b1_TPM	PT_Myc_PTEN_MGT_b2_TPM	PT_Myc_PTEN_MGT_b3_TPM	PT_Myc_PTEN_MGT_b4_TPM	PT_Myc_PTEN_MGT_b5_TPM	PT_Myc_PTEN_MGT_b6_TPM	PT_Myc_PTEN_MGT_b7_TPM	PT_Myc_PTEN_MGT_b8_TPM	PT_Myc_PTEN_MGT_b9_TPM	PT_Myc_PTEN_MGT_b10_TPM	PT_Myc_PTEN_MGT_b11_TPM	PT_Myc_PTEN_MGT_b12_TPM	PT_Myc_PTEN_MGT_b13_TPM
Arfgef2	11.61837296	24.10374251	17.58293283	17.92032623	17.70378035	8.54807523	24.71953626	18.81145467	13.14173655	17.89588176	20.29043732	30.25072176	22.00708628
Arfgef3	0	0	0	0	0	1.709615046	12.35976813	1.881145467	1.46019295	0	0	9.453350551	4.001288415
Arfip1	74.68954048	58.25071106	84.00734576	77.65474699	66.88094798	80.35190716	78.27853149	56.43436401	24.82328015	57.66450789	54.78418076	64.28278375	70.02254726
Arfip2	68.05047021	52.22477543	54.7024577	63.71671548	74.7492948	87.19036734	109.1779518	109.1064371	100.7533135	67.60666443	48.69704957	113.4402066	88.02834513
Arfrp1	54.77232968	52.22477543	46.88782089	53.76097869	43.27590752	41.0307611	43.25918846	52.67207308	32.1242449	43.74548875	40.58087464	43.48541253	38.01223994
Arg1	230.7076917	2868.345358	2170.515375	1029.423185	385.5489942	196.6057303	376.972928	112.868728	1130.189343	1704.08563	472.7671896	582.3263939	422.1359278
Arg2	21.57697836	16.06916167	11.72195522	13.93803151	9.835433526	10.25769028	8.23984542	11.2868728	1.46019295	7.953725227	6.087131196	11.34402066	20.00644207
Arglu1	210.7904809	114.4927769	134.8024851	145.3537572	153.432763	124.8018984	92.69826098	127.9178918	62.78829685	131.2364662	111.5974053	122.8935572	78.02512409
Arhgap1	49.79302698	104.4495509	87.91466417	97.56622058	68.84803468	46.15960624	67.97872472	58.31550948	45.26598145	83.51411488	85.21983674	64.28278375	52.01674939
Arhgap10	23.23674593	28.12103293	25.39756965	27.87606302	27.53921387	22.2249956	22.65957491	22.57374561	18.98250835	25.84960699	48.69704957	20.79737121	18.00579787
Arhgap11a	13.27814053	28.12103293	15.62927363	25.88491566	17.70378035	11.96730532	47.37911117	30.09832747	10.22135065	17.89588176	50.7260933	20.79737121	16.00515366
Arhgap12	18.25744323	20.08645209	23.44391044	21.90262095	17.70378035	18.80576551	32.95938168	22.57374561	8.761157699	17.89588176	16.23234986	24.57871143	26.0083747
